Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
BEDC,Bhugol Energy Development Company Limited,Hydro Power,517.90,2.82 Ar,+0.78%,+0.74%,-6.33%,-6.85%,-32.12%,+132.24%,1.08,478.19,10.67,"40,809.28","30,713.00",+32.87%,"36,418.58","28,222.11",+29.04%,"2,946.17","10,394.84",-71.66%,1.08,7.64,-85.83%,48.52,50.07,-3.09%,"8,41,642.09","8,63,446.33",-2.53%,"5,77,676.47","5,91,057.86",-2.26%,"5,44,053.40","5,44,053.40",0.00%,"-2,80,087.78","-2,71,664.93",+3.10%
BFC,Best Finance,Finance,470.90,4.19 Ar,+1.90%,+2.82%,-2.91%,-0.44%,-28.43%,+185.39%,3.93,119.90,4.39,"2,53,264.33","1,27,848.98",+98.10%,"71,208.90","32,206.09",+121.10%,"17,485.62","-54,717.77",-131.96%,3.93,-24.58,-115.98%,107.30,118.55,-9.49%,"73,03,826.25","73,94,627.70",-1.23%,"63,48,434.20","63,39,040.54",+0.15%,"8,90,424.24","8,90,424.24",0.00%,"64,967.81","1,65,162.92",-60.66%
BGWT,Bhagawati Hydropower Development Company Limited,Hydro Power,760.00,4.52 Ar,+0.37%,+0.66%,-1.81%,-0.65%,-24.17%,+135.58%,9.22,82.45,6.98,"81,556.36","39,258.69",+107.74%,"69,327.13","33,715.24",+105.63%,"31,259.34","16,066.88",+94.56%,9.22,10.80,-14.67%,108.91,127.60,-14.65%,"9,63,658.98","9,79,698.24",-1.64%,"2,25,011.50","2,20,546.37",+2.02%,"6,78,239.90","5,94,947.30",+14.00%,"60,407.58","1,64,204.56",-63.21%
BHCL,Bikash Hydropower Company Limited,Hydro Power,582.00,5.29 Ar,+0.17%,+4.36%,-3.64%,+21.28%,+81.14%,+81.14%,11.05,52.68,5.42,"96,288.99","41,572.31",+131.62%,"89,638.03","38,188.74",+134.72%,"50,215.78","17,754.48",+182.83%,11.05,7.81,+41.42%,107.34,103.77,+3.44%,"12,75,261.65","12,41,080.55",+2.75%,"2,99,431.27","2,97,711.47",+0.58%,"9,09,101.30","9,09,101.30",0.00%,"66,729.08","34,267.78",+94.73%
BHDC,Bindhyabasini Hydropower Development Company Limited,Hydro Power,472.00,5.33 Ar,+0.43%,+0.21%,-1.05%,+1.99%,-28.13%,+55.05%,19.83,23.80,3.84,"2,77,648.56","1,66,446.01",+66.81%,"2,71,316.30","1,62,724.31",+66.73%,"1,12,045.57","87,182.43",+28.52%,19.83,30.87,-35.74%,123.00,116.88,+5.24%,"29,51,876.43","29,29,609.05",+0.76%,"15,62,172.83","16,09,687.05",-2.95%,"11,29,800.00","11,29,800.00",0.00%,"2,59,902.52","1,90,756.32",+36.25%
BHL,Balephi Hydropower Limited,Hydro Power,199.50,7.29 Ar,+1.17%,+1.17%,-3.16%,+10.04%,-45.49%,+89.19%,12.48,15.98,2.47,"6,37,244.60","3,47,858.38",+83.19%,"5,82,183.75","3,23,991.09",+79.69%,"2,28,148.23","1,24,475.36",+83.29%,12.48,13.62,-8.36%,80.85,78.02,+3.63%,"86,82,443.29","86,57,035.48",+0.29%,"57,26,577.62","58,04,842.69",-1.35%,"36,55,940.00","36,55,940.00",0.00%,"-7,00,074.34","-8,03,747.21",-12.90%
BHPL,Barahi Hydropower Public Limited,Hydro Power,586.00,1.47 Ar,+6.74%,+6.55%,+1.74%,-11.61%,-44.87%,+174.22%,1.86,314.39,11.46,"20,646.36","14,637.93",+41.05%,"20,170.33","13,347.37",+51.12%,"2,329.91","5,927.83",-60.70%,1.86,9.48,-80.35%,51.12,52.70,-2.99%,"3,68,206.23","3,77,493.29",-2.46%,"2,40,394.61","2,45,740.82",-2.18%,"2,50,000.00","2,50,000.00",0.00%,"-1,22,188.38","-1,18,247.53",+3.33%
BNHC,Buddha Bhumi Nepal Hydropower Company Limited,Hydro Power,336.60,1.35 Ar,+1.20%,-1.00%,+1.39%,+22.42%,+2.31%,+86.12%,9.91,33.96,4.16,"1,05,054.18","50,819.91",+106.72%,"1,00,419.33","49,395.44",+103.30%,"20,481.43","7,518.32",+172.42%,9.91,7.28,+36.21%,80.89,77.35,+4.57%,"13,56,978.80","13,50,587.42",+0.47%,"10,22,646.49","10,30,876.55",-0.80%,"4,13,304.40","4,13,304.40",0.00%,"-78,972.09","-93,593.53",-15.62%
BNL,Bottlers Nepal (Balaju),Manufacturing And Processing,"15,200.00",29.62 Ar,0.00%,-1.92%,-4.41%,-4.10%,-27.99%,+705.55%,32.09,473.68,4.75,"48,10,998.00","36,98,179.00",+30.09%,"12,84,714.00","11,63,811.00",+10.39%,"31,269.00","3,21,676.00",-90.28%,32.09,660.22,-95.14%,"3,201.17","3,349.59",-4.43%,"1,24,73,712.00","1,42,39,690.00",-12.40%,"62,34,987.00","77,11,703.00",-19.15%,"1,94,889.00","1,94,889.00",0.00%,"60,43,836.00","63,33,098.00",-4.57%
BNT,Bottlers Nepal (Terai),Manufacturing And Processing,"11,780.00",14.25 Ar,0.00%,+1.87%,+0.07%,-1.01%,-14.88%,+38.10%,223.96,52.60,3.90,"34,25,609.00","26,22,779.00",+30.61%,"10,10,445.00","9,33,024.00",+8.30%,"1,35,494.00","2,73,853.00",-50.52%,223.96,905.30,-75.26%,"3,021.55","3,141.86",-3.83%,"82,75,076.00","95,32,726.00",-13.19%,"46,19,004.00","57,31,081.00",-19.40%,"1,21,000.00","1,21,000.00",0.00%,"35,35,072.00","36,80,645.00",-3.96%
BOKD86,8.5% BOK Debenture 2086,Bond,"1,113.00",1.78 Ar,+1.18%,+1.18%,+0.45%,-0.18%,+8.59%,+11.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOKD86KA,"BOK Debenture 2086 ""KA""",Bond,"1,204.00",0.00,+1.35%,0.00%,+3.17%,+1.18%,+7.88%,+18.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPCL,Butwal Power,Hydro Power,715.00,24.37 Ar,+0.28%,+2.88%,-5.17%,+0.83%,+61.67%,+125.31%,13.22,54.07,3.36,"4,64,044.00","2,41,214.00",+92.38%,"2,58,096.00","1,34,450.00",+91.96%,"2,25,380.00","84,802.00",+165.77%,13.22,9.95,+32.89%,212.95,215.04,-0.97%,"80,14,872.00","83,36,439.00",-3.86%,"7,55,132.00","10,05,514.00",-24.90%,"34,09,065.00","34,09,065.00",0.00%,"38,50,675.00","39,21,860.00",-1.82%
BUNGAL,Bungal Hydro Limited,Hydro Power,638.50,5.30 Ar,-0.55%,+1.35%,-9.05%,+13.61%,+91.97%,+91.97%,6.68,95.52,7.21,"1,85,259.57","1,12,477.35",+64.71%,"1,76,478.54","1,08,210.83",+63.09%,"27,739.36","29,017.11",-4.40%,6.68,13.98,-52.20%,88.61,89.74,-1.26%,"30,47,693.57","31,00,665.94",-1.71%,"23,12,245.26","23,55,821.40",-1.85%,"8,30,000.00","8,30,000.00",0.00%,"-94,551.70","-85,155.47",+11.03%
C30MF,Citizens Super 30 Mutual Fund,Mutual Fund,9.82,73.72 Cr,+1.97%,+2.19%,+1.97%,+7.91%,+21.31%,+23.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBBL,Chhimek Laghubitta Bikas Bank,Microcredit,920.00,29.58 Ar,-0.33%,-0.01%,-2.18%,+0.71%,+14.09%,+17.90%,31.85,28.88,3.94,"32,47,112.40","16,51,153.23",+96.66%,"14,59,951.04","7,55,117.98",+93.34%,"5,76,096.50","2,69,002.80",+114.16%,31.85,33.46,-4.82%,233.66,266.18,-12.22%,"5,49,12,940.55","5,37,35,805.33",+2.19%,"4,64,60,994.26","4,51,77,284.70",+2.84%,"36,17,264.10","32,15,345.87",+12.50%,"48,34,682.19","53,43,174.76",-9.52%
CFCL,Central Finance,Finance,537.00,5.10 Ar,+2.82%,+0.56%,-4.11%,+8.51%,-19.02%,+192.89%,8.26,65.01,4.72,"3,18,245.75","1,48,054.20",+114.95%,"1,02,505.20","37,701.33",+171.89%,"39,191.30","18,444.57",+112.48%,8.26,7.78,+6.24%,113.65,114.32,-0.58%,"95,61,730.99","91,64,863.95",+4.33%,"84,83,312.93","80,80,145.12",+4.99%,"9,48,875.46","9,48,875.46",0.00%,"1,29,542.60","1,35,843.37",-4.64%
CGH,Chandragiri Hills Limited,Hotels,827.80,12.70 Ar,+0.22%,+1.76%,-4.41%,+0.13%,-10.16%,+91.09%,-6.13,-135.04,8.04,"2,69,643.56","1,48,996.63",+80.97%,"1,05,978.86","50,933.28",+108.07%,"-47,020.56","-12,431.73",+278.23%,-6.13,-3.24,+89.11%,103.02,106.80,-3.55%,"39,29,666.72","37,48,301.63",+4.84%,"23,49,306.18","21,09,838.33",+11.35%,"15,34,091.00","15,34,091.00",0.00%,"46,269.54","1,04,372.30",-55.67%
CHCL,Chilime Hydropower,Hydro Power,469.00,41.19 Ar,+0.21%,+1.54%,-0.23%,+2.95%,-7.30%,+33.48%,8.39,55.88,3.88,"6,36,581.19","3,53,082.70",+80.29%,"4,89,839.15","2,69,080.99",+82.04%,"3,98,059.37","2,05,841.81",+93.38%,8.39,9.38,-10.47%,120.86,132.45,-8.75%,"1,22,37,700.45","1,21,42,825.57",+0.78%,"7,73,985.79","5,10,964.03",+51.48%,"94,84,988.68","87,82,396.92",+8.00%,"19,78,725.99","28,49,464.62",-30.56%
CHDC,CEDB Holdings Limited,Organized Fund,"2,519.00",26.05 Ar,+0.88%,+0.96%,+4.74%,+6.42%,+3.71%,+579.62%,61.03,41.27,10.46,"3,25,803.01","1,60,927.48",+102.45%,"3,23,873.81","1,58,278.29",+104.62%,"3,15,605.00","1,56,563.73",+101.58%,61.03,60.55,+0.79%,240.87,208.39,+15.59%,"25,58,641.75","21,65,007.42",+18.18%,"67,489.70","9,766.24",+591.05%,"10,34,237.06","10,34,237.06",0.00%,"14,56,914.99","11,21,004.12",+29.97%
CHL,Chhyangdi Hydropower Ltd.,Hydro Power,284.10,2.20 Ar,+0.50%,+4.64%,+0.39%,+6.80%,-13.41%,+109.25%,6.03,47.14,3.32,"1,08,535.62","57,700.82",+88.10%,"92,726.75","49,246.52",+88.29%,"23,323.76","19,207.03",+21.43%,6.03,9.93,-39.28%,85.59,85.16,+0.50%,"13,53,155.19","13,66,572.42",-0.98%,"6,90,760.81","7,07,442.72",-2.36%,"7,73,955.00","7,73,955.00",0.00%,"-1,11,560.62","-1,14,825.30",-2.84%
CIT,Citizen Investment Trust,Organized Fund,"1,789.50",115.99 Ar,+1.16%,+2.79%,+1.44%,+1.19%,-10.77%,-10.79%,19.55,91.53,6.38,"10,69,348.00","5,37,202.00",+99.06%,"10,05,491.00","4,58,525.00",+119.29%,"6,65,324.00","3,14,328.00",+111.67%,19.55,19.40,+0.79%,280.46,412.40,-31.99%,"31,95,04,429.00","31,91,55,681.00",+0.11%,"30,04,16,869.00","29,24,25,099.00",+2.73%,"68,05,798.00","64,81,712.00",+5.00%,"1,22,81,761.00","2,02,48,869.00",-39.35%
CITY,City Hotel Limited,Hotels,472.00,7.90 Ar,-0.17%,+0.85%,-2.07%,-10.98%,-17.75%,+320.18%,-6.70,-70.45,4.79,"2,43,925.91","1,15,535.89",+111.13%,"53,695.62","24,284.01",+121.12%,"-1,00,938.26","-55,652.16",+81.37%,-6.70,-13.30,-49.62%,98.53,135.99,-27.54%,"56,84,006.02","59,08,122.77",-3.79%,"27,14,980.43","36,31,721.29",-25.24%,"30,13,200.00","16,74,000.00",+80.00%,"-44,174.42","6,02,401.47",-107.33%
CKHL,Chirkhwa Hydropower Limited,Hydro Power,683.00,2.73 Ar,-0.29%,+0.41%,-5.77%,+8.41%,-16.20%,+106.97%,17.54,38.93,7.14,"82,538.76","47,273.92",+74.60%,"74,277.10","42,878.47",+73.23%,"35,084.61","17,524.30",+100.21%,17.54,17.52,+0.10%,95.71,91.32,+4.81%,"12,03,488.11","11,95,412.61",+0.68%,"8,20,629.95","8,30,114.76",-1.14%,"4,00,000.00","4,00,000.00",0.00%,"-17,141.84","-34,702.15",-50.60%
CLI,Citizen Life Insurance Company Limited,Life Insurance,469.00,23.45 Ar,-1.05%,+3.76%,-0.64%,-0.19%,-16.03%,+42.40%,9.26,50.64,4.38,"49,83,553.95","27,15,163.01",+83.55%,"7,14,117.31","3,77,457.12",+89.19%,"2,31,529.47","1,31,489.59",+76.08%,9.26,10.52,-11.96%,126.52,148.93,-15.04%,"2,98,84,235.21","2,96,07,870.76",+0.93%,"2,35,58,064.11","2,21,61,432.32",+6.30%,"50,00,000.00","50,00,000.00",0.00%,"3,56,585.78","11,56,978.00",-69.18%
CMF2,Citizen Mutual Fund 2,Mutual Fund,10.23,57.29 Cr,-0.10%,+0.29%,+4.07%,+11.32%,+14.40%,+51.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORBL,Corporate Development Bank,Development Bank,"1,556.70",8.17 Ar,-3.61%,-3.43%,-12.52%,-8.16%,-22.94%,+370.61%,4.93,315.74,11.46,"1,00,464.96","56,890.47",+76.59%,"35,690.75","23,452.16",+52.19%,"12,942.22","2,914.53",+344.06%,4.93,2.22,+122.03%,135.79,136.54,-0.55%,"28,33,321.96","27,17,727.00",+4.25%,"21,20,416.89","20,00,899.94",+5.97%,"5,25,000.00","5,25,000.00",0.00%,"1,87,905.07","1,91,827.05",-2.04%
CREST,Crest Micro Life Insurance Limited,Life Insurance,"1,337.20",10.03 Ar,-0.87%,+0.54%,-14.76%,+6.21%,+301.92%,+301.92%,3.13,426.72,12.61,"2,38,898.99","1,11,950.68",+113.40%,"72,452.91","35,386.28",+104.75%,"11,751.21","5,595.85",+110.00%,3.13,2.98,+5.00%,111.12,110.30,+0.74%,"12,03,801.29","11,43,327.53",+5.29%,"3,70,387.39","3,16,068.98",+17.19%,"7,50,000.00","7,50,000.00",0.00%,"45,318.08","39,839.82",+13.75%
CSY,,,9.30,0.00,+0.32%,-0.21%,-0.21%,-0.21%,-0.21%,-0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microcredit,"1,573.00",4.19 Ar,+1.48%,+0.58%,-0.32%,+2.81%,-15.04%,+435.37%,27.99,56.19,5.85,"4,13,406.82","1,85,220.08",+123.20%,"2,02,863.06","75,502.79",+168.68%,"37,289.69","-14,573.82",-355.87%,27.99,-21.88,-227.93%,268.72,471.51,-43.01%,"72,72,518.53","73,69,513.44",-1.32%,"65,56,579.09","66,78,831.42",-1.83%,"2,66,424.39","2,66,424.39",0.00%,"4,49,515.04","9,89,794.07",-54.58%
CZBIL,Citizen Bank International,Commercial Banks,193.30,28.55 Ar,+0.26%,+3.31%,-2.91%,-1.38%,-11.57%,-15.33%,4.63,41.77,1.29,"77,23,863.53","40,66,326.62",+89.95%,"31,44,546.13","16,66,263.49",+88.72%,"3,58,858.63","-2,20,411.17",-262.81%,4.63,-5.97,-177.53%,149.79,153.30,-2.29%,"24,56,53,491.70","24,63,48,568.20",-0.28%,"22,24,24,797.50","22,37,07,044.50",-0.57%,"1,55,07,463.61","1,47,69,012.97",+5.00%,"77,21,230.59","78,72,510.67",-1.92%
DDBL,Deprosc Laghubitta,Microcredit,843.00,15.75 Ar,+1.08%,+1.57%,+0.36%,+5.49%,+11.02%,-8.93%,47.41,17.78,3.81,"18,16,714.71","9,27,017.52",+95.97%,"10,61,025.57","5,33,543.99",+98.86%,"4,42,910.64","2,02,215.58",+119.03%,47.41,43.29,+9.51%,221.13,221.21,-0.04%,"2,60,63,775.88","2,71,35,989.25",-3.95%,"2,29,32,439.67","2,30,03,063.34",-0.31%,"18,68,285.70","18,68,285.70",0.00%,"22,63,050.51","22,64,640.21",-0.07%
DHEL,Daramkhola Hydro Energy Limited,Hydro Power,725.00,7.47 Ar,-0.55%,+6.15%,-4.72%,+27.35%,+63.88%,+63.88%,5.20,139.46,5.52,"43,642.08",0.00,0.00%,"41,935.29",0.00,0.00%,"26,785.44","35,293.21",-24.11%,5.20,13.70,-62.05%,131.27,132.09,-0.63%,"29,86,587.94","28,86,372.96",+3.47%,"16,33,872.88","15,25,150.12",+7.13%,"10,30,500.00","10,30,500.00",0.00%,"3,22,215.06","3,30,722.84",-2.57%
DHPL,Dibyashwori Hydropower Ltd.,Hydro Power,302.00,79.73 Cr,+0.83%,+1.68%,-1.79%,-1.63%,-20.73%,+160.34%,7.51,40.19,45.60,"58,052.90","34,963.00",+66.04%,"55,185.73","33,151.00",+66.47%,"9,918.52","11,555.00",-14.16%,7.51,17.51,-57.08%,6.62,7.77,-14.79%,"7,58,056.07","7,78,457.00",-2.62%,"7,40,571.38","7,57,938.00",-2.29%,"2,64,000.00","2,64,000.00",0.00%,"-2,46,515.30","-2,43,481.00",+1.25%
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microcredit,"1,334.00",1.78 Ar,+1.83%,+3.73%,-2.62%,-2.13%,-29.38%,+642.35%,18.38,72.58,7.45,"1,56,689.12","73,056.81",+114.48%,"82,442.49","34,600.27",+138.27%,"12,231.48","2,595.13",+371.32%,18.38,7.80,+135.66%,179.13,171.75,+4.29%,"24,94,854.19","26,41,878.21",-5.57%,"22,56,438.11","24,13,279.31",-6.50%,"1,33,100.00","1,33,100.00",0.00%,"1,05,316.07","95,498.90",+10.28%
DOLTI,Dolti Power Company Limited,Hydro Power,508.00,2.73 Ar,0.00%,+2.01%,-4.15%,-5.58%,-31.72%,+76.94%,3.25,156.20,8.53,"61,992.36","47,753.56",+29.82%,"54,792.82","43,309.63",+26.51%,"8,723.69","19,089.06",-54.30%,3.25,14.23,-77.15%,59.55,61.63,-3.38%,"10,51,248.38","10,85,123.57",-3.12%,"7,31,794.40","7,54,501.13",-3.01%,"5,36,486.00","5,36,486.00",0.00%,"-2,17,032.02","-2,05,863.56",+5.43%
DORDI,Dordi Khola Jal Bidyut Company Limited,Hydro Power,273.60,5.77 Ar,-0.51%,+2.43%,-2.29%,+1.79%,-35.29%,+31.86%,0.69,396.26,2.60,"1,37,660.45","74,601.02",+84.53%,"1,21,908.12","66,027.95",+84.63%,"7,279.18","8,937.89",-18.56%,0.69,1.70,-59.28%,105.22,105.35,-0.12%,"35,10,413.62","35,01,940.07",+0.24%,"12,91,786.99","12,80,688.73",+0.87%,"21,08,520.80","21,08,520.80",0.00%,"1,10,105.82","1,12,730.54",-2.33%
