Symbol,Date,50 vs 20 EMA Cross
HEI,2024-07-03,HEI - 2024-07-03 00:00:00 - Bear Close: 616.0
SGIC,2024-07-02,SGIC - 2024-07-02 00:00:00 - Bear Close: 554.0
NICA,2024-07-02,NICA - 2024-07-02 00:00:00 - Bear Close: 418.0
PCBL,2024-07-02,PCBL - 2024-07-02 00:00:00 - Bear Close: 202.0
TVCL,2024-07-01,TVCL - 2024-07-01 00:00:00 - Bear Close: 491.0
PCBL,2024-07-01,PCBL - 2024-07-01 00:00:00 - Bull Close: 195.8
OHL,2024-07-01,OHL - 2024-07-01 00:00:00 - Bear Close: 763.0
DOLTI,2024-07-01,DOLTI - 2024-07-01 00:00:00 - Bear Close: 427.9
DOLTI,2024-06-30,DOLTI - 2024-06-30 00:00:00 - Bull Close: 406.7
GLH,2024-06-30,GLH - 2024-06-30 00:00:00 - Bull Close: 205.8
NICA,2024-06-30,NICA - 2024-06-30 00:00:00 - Bull Close: 394.1
STC,2024-06-30,STC - 2024-06-30 00:00:00 - Bull Close: 4525.0
OHL,2024-06-30,OHL - 2024-06-30 00:00:00 - Bull Close: 747.3
HEI,2024-06-27,HEI - 2024-06-27 00:00:00 - Bull Close: 573.2
NONLIFEINSU,2024-06-27,NONLIFEINSU - 2024-06-27 00:00:00 - Bull Close: 10421.29
SHINE,2024-06-27,SHINE - 2024-06-27 00:00:00 - Bull Close: 376.0
SGIC,2024-06-27,SGIC - 2024-06-27 00:00:00 - Bull Close: 521.0
JBLB,2024-06-26,JBLB - 2024-06-26 00:00:00 - Bull Close: 1324.0
CBBL,2024-06-26,CBBL - 2024-06-26 00:00:00 - Bull Close: 830.0
SAHAS,2024-06-26,SAHAS - 2024-06-26 00:00:00 - Bull Close: 506.0
LBBL,2024-06-26,LBBL - 2024-06-26 00:00:00 - Bull Close: 378.0
NLIC,2024-06-25,NLIC - 2024-06-25 00:00:00 - Bull Close: 585.2
PRVU,2024-06-24,PRVU - 2024-06-24 00:00:00 - Bull Close: 141.0
GUFL,2024-06-23,GUFL - 2024-06-23 00:00:00 - Bear Close: 781.0
HPPL,2024-06-23,HPPL - 2024-06-23 00:00:00 - Bear Close: 277.0
PMHPL,2024-06-23,PMHPL - 2024-06-23 00:00:00 - Bull Close: 229.8
SICL,2024-06-23,SICL - 2024-06-23 00:00:00 - Bull Close: 690.0
MEL,2024-06-20,MEL - 2024-06-20 00:00:00 - Bull Close: 224.0
KBL,2024-06-20,KBL - 2024-06-20 00:00:00 - Bull Close: 137.8
HURJA,2024-06-20,HURJA - 2024-06-20 00:00:00 - Bear Close: 296.0
LSL,2024-06-20,LSL - 2024-06-20 00:00:00 - Bull Close: 154.8
GLH,2024-06-19,GLH - 2024-06-19 00:00:00 - Bear Close: 219.3
PMHPL,2024-06-19,PMHPL - 2024-06-19 00:00:00 - Bear Close: 241.0
MFIL,2024-06-19,MFIL - 2024-06-19 00:00:00 - Bear Close: 520.0
DHPL,2024-06-18,DHPL - 2024-06-18 00:00:00 - Bear Close: 220.2
TRH,2024-06-16,TRH - 2024-06-16 00:00:00 - Bear Close: 768.0
PRIN,2024-06-16,PRIN - 2024-06-16 00:00:00 - Bull Close: 771.8
UNHPL,2024-06-16,UNHPL - 2024-06-16 00:00:00 - Bear Close: 243.9
SSHL,2024-06-16,SSHL - 2024-06-16 00:00:00 - Bear Close: 182.8
RADHI,2024-06-13,RADHI - 2024-06-13 00:00:00 - Bear Close: 265.0
PHCL,2024-06-13,PHCL - 2024-06-13 00:00:00 - Bear Close: 331.0
PRIN,2024-06-13,PRIN - 2024-06-13 00:00:00 - Bear Close: 783.1
HBL,2024-06-13,HBL - 2024-06-13 00:00:00 - Bull Close: 184.0
NGPL,2024-06-12,NGPL - 2024-06-12 00:00:00 - Bear Close: 313.5
SPDL,2024-06-12,SPDL - 2024-06-12 00:00:00 - Bear Close: 249.9
SICL,2024-06-11,SICL - 2024-06-11 00:00:00 - Bear Close: 710.0
STC,2024-06-11,STC - 2024-06-11 00:00:00 - Bear Close: 4810.0
BARUN,2024-06-11,BARUN - 2024-06-11 00:00:00 - Bear Close: 273.9
MHNL,2024-06-11,MHNL - 2024-06-11 00:00:00 - Bear Close: 257.0
RURU,2024-06-11,RURU - 2024-06-11 00:00:00 - Bear Close: 679.9
TSHL,2024-06-10,TSHL - 2024-06-10 00:00:00 - Bear Close: 535.0
TPC,2024-06-10,TPC - 2024-06-10 00:00:00 - Bear Close: 547.0
SICL,2024-06-10,SICL - 2024-06-10 00:00:00 - Bull Close: 693.0
NIMB,2024-06-10,NIMB - 2024-06-10 00:00:00 - Bull Close: 156.5
SPC,2024-06-10,SPC - 2024-06-10 00:00:00 - Bear Close: 637.0
DORDI,2024-06-09,DORDI - 2024-06-09 00:00:00 - Bear Close: 426.9
CBBL,2024-06-09,CBBL - 2024-06-09 00:00:00 - Bear Close: 850.0
CHDC,2024-06-06,CHDC - 2024-06-06 00:00:00 - Bear Close: 980.0
MLBL,2024-06-06,MLBL - 2024-06-06 00:00:00 - Bull Close: 322.2
NGPL,2024-06-06,NGPL - 2024-06-06 00:00:00 - Bull Close: 300.1
GBIME,2024-06-06,GBIME - 2024-06-06 00:00:00 - Bull Close: 180.5
DDBL,2024-06-05,DDBL - 2024-06-05 00:00:00 - Bear Close: 739.2
PRIN,2024-06-05,PRIN - 2024-06-05 00:00:00 - Bull Close: 770.5
TSHL,2024-06-05,TSHL - 2024-06-05 00:00:00 - Bull Close: 500.0
NICA,2024-06-04,NICA - 2024-06-04 00:00:00 - Bear Close: 415.5
CBBL,2024-06-04,CBBL - 2024-06-04 00:00:00 - Bull Close: 833.1
IGI,2024-06-04,IGI - 2024-06-04 00:00:00 - Bull Close: 530.0
MAKAR,2024-06-03,MAKAR - 2024-06-03 00:00:00 - Bear Close: 405.0
GBIME,2024-06-03,GBIME - 2024-06-03 00:00:00 - Bear Close: 183.6
HYDROPOWER,2024-06-03,HYDROPOWER - 2024-06-03 00:00:00 - Bear Close: 2513.94
PPL,2024-06-03,PPL - 2024-06-03 00:00:00 - Bull Close: 453.0
BBC,2024-06-03,BBC - 2024-06-03 00:00:00 - Bear Close: 3870.0
TRADING,2024-06-03,TRADING - 2024-06-03 00:00:00 - Bear Close: 2928.54
NLIC,2024-06-03,NLIC - 2024-06-03 00:00:00 - Bear Close: 615.1
JBBL,2024-06-03,JBBL - 2024-06-03 00:00:00 - Bull Close: 288.1
SHL,2024-06-03,SHL - 2024-06-03 00:00:00 - Bull Close: 436.0
BHL,2024-06-03,BHL - 2024-06-03 00:00:00 - Bear Close: 344.7
MBL,2024-06-02,MBL - 2024-06-02 00:00:00 - Bull Close: 173.9
TAMOR,2024-06-02,TAMOR - 2024-06-02 00:00:00 - Bear Close: 385.0
CKHL,2024-06-02,CKHL - 2024-06-02 00:00:00 - Bear Close: 563.0
MKJC,2024-06-02,MKJC - 2024-06-02 00:00:00 - Bear Close: 496.0
CGH,2024-06-02,CGH - 2024-06-02 00:00:00 - Bear Close: 845.0
DDBL,2024-05-30,DDBL - 2024-05-30 00:00:00 - Bull Close: 717.0
SMJC,2024-05-30,SMJC - 2024-05-30 00:00:00 - Bear Close: 382.0
SRLI,2024-05-30,SRLI - 2024-05-30 00:00:00 - Bull Close: 437.0
HLI,2024-05-30,HLI - 2024-05-30 00:00:00 - Bull Close: 390.0
MBL,2024-05-29,MBL - 2024-05-29 00:00:00 - Bear Close: 180.0
MKCL,2024-05-29,MKCL - 2024-05-29 00:00:00 - Bear Close: 1011.0
USHL,2024-05-29,USHL - 2024-05-29 00:00:00 - Bear Close: 486.0
NRM,2024-05-29,NRM - 2024-05-29 00:00:00 - Bear Close: 378.0
LICN,2024-05-29,LICN - 2024-05-29 00:00:00 - Bear Close: 1384.9
HBL,2024-05-29,HBL - 2024-05-29 00:00:00 - Bear Close: 194.7
UMRH,2024-05-29,UMRH - 2024-05-29 00:00:00 - Bear Close: 360.0
UNL,2024-05-29,UNL - 2024-05-29 00:00:00 - Bear Close: 43286.1
DHPL,2024-05-27,DHPL - 2024-05-27 00:00:00 - Bull Close: 195.0
SRLI,2024-05-27,SRLI - 2024-05-27 00:00:00 - Bear Close: 455.0
LBBL,2024-05-27,LBBL - 2024-05-27 00:00:00 - Bear Close: 387.9
NRN,2024-05-27,NRN - 2024-05-27 00:00:00 - Bear Close: 572.8
NIMB,2024-05-27,NIMB - 2024-05-27 00:00:00 - Bear Close: 169.9
SICL,2024-05-27,SICL - 2024-05-27 00:00:00 - Bear Close: 718.0
CBBL,2024-05-27,CBBL - 2024-05-27 00:00:00 - Bear Close: 858.4
HATHY,2024-05-27,HATHY - 2024-05-27 00:00:00 - Bear Close: 908.0
MEN,2024-05-27,MEN - 2024-05-27 00:00:00 - Bear Close: 586.0
DDBL,2024-05-27,DDBL - 2024-05-27 00:00:00 - Bear Close: 743.0
HOTELS,2024-05-27,HOTELS - 2024-05-27 00:00:00 - Bear Close: 5418.67
SAHAS,2024-05-26,SAHAS - 2024-05-26 00:00:00 - Bear Close: 535.0
LSL,2024-05-26,LSL - 2024-05-26 00:00:00 - Bear Close: 170.0
NABIL,2024-05-26,NABIL - 2024-05-26 00:00:00 - Bear Close: 517.0
PRVU,2024-05-26,PRVU - 2024-05-26 00:00:00 - Bear Close: 153.9
KBL,2024-05-26,KBL - 2024-05-26 00:00:00 - Bear Close: 150.2
CITY,2024-05-26,CITY - 2024-05-26 00:00:00 - Bear Close: 670.0
OHL,2024-05-26,OHL - 2024-05-26 00:00:00 - Bear Close: 782.0
SHL,2024-05-26,SHL - 2024-05-26 00:00:00 - Bear Close: 456.1
HLI,2024-05-26,HLI - 2024-05-26 00:00:00 - Bear Close: 400.7
NMB,2024-05-26,NMB - 2024-05-26 00:00:00 - Bear Close: 211.0
BANKING,2024-05-22,BANKING - 2024-05-22 00:00:00 - Bear Close: 1192.73
CZBIL,2024-05-22,CZBIL - 2024-05-22 00:00:00 - Bear Close: 179.0
SPL,2024-05-22,SPL - 2024-05-22 00:00:00 - Bear Close: 698.0
SENSITIVE,2024-05-22,SENSITIVE - 2024-05-22 00:00:00 - Bear Close: 382.67
SBI,2024-05-22,SBI - 2024-05-22 00:00:00 - Bear Close: 309.5
KPCL,2024-05-21,KPCL - 2024-05-21 00:00:00 - Bear Close: 447.0
NEPSE,2024-05-21,NEPSE - 2024-05-21 00:00:00 - Bear Close: 2115.94
MHL,2024-05-21,MHL - 2024-05-21 00:00:00 - Bear Close: 453.0
SPHL,2024-05-21,SPHL - 2024-05-21 00:00:00 - Bear Close: 502.8
FLOAT,2024-05-21,FLOAT - 2024-05-21 00:00:00 - Bear Close: 144.03
SMHL,2024-05-21,SMHL - 2024-05-21 00:00:00 - Bear Close: 515.0
JBBL,2024-05-21,JBBL - 2024-05-21 00:00:00 - Bear Close: 297.2
TSHL,2024-05-21,TSHL - 2024-05-21 00:00:00 - Bear Close: 535.0
SBL,2024-05-20,SBL - 2024-05-20 00:00:00 - Bear Close: 240.5
SANIMA,2024-05-20,SANIMA - 2024-05-20 00:00:00 - Bear Close: 256.5
PCBL,2024-05-20,PCBL - 2024-05-20 00:00:00 - Bear Close: 205.9
EBL,2024-05-20,EBL - 2024-05-20 00:00:00 - Bear Close: 532.0
IGI,2024-05-20,IGI - 2024-05-20 00:00:00 - Bear Close: 553.5
RFPL,2024-05-19,RFPL - 2024-05-19 00:00:00 - Bear Close: 392.0
TSHL,2024-05-19,TSHL - 2024-05-19 00:00:00 - Bull Close: 509.0
SALICO,2024-05-19,SALICO - 2024-05-19 00:00:00 - Bear Close: 712.0
PRIN,2024-05-19,PRIN - 2024-05-19 00:00:00 - Bear Close: 800.0
KDL,2024-05-19,KDL - 2024-05-19 00:00:00 - Bear Close: 823.0
GUFL,2024-05-19,GUFL - 2024-05-19 00:00:00 - Bull Close: 683.0
NONLIFEINSU,2024-05-19,NONLIFEINSU - 2024-05-19 00:00:00 - Bear Close: 11023.08
PRIN,2024-05-16,PRIN - 2024-05-16 00:00:00 - Bull Close: 767.2
NWCL,2024-05-16,NWCL - 2024-05-16 00:00:00 - Bear Close: 735.4
BNHC,2024-05-15,BNHC - 2024-05-15 00:00:00 - Bear Close: 520.0
JBLB,2024-05-15,JBLB - 2024-05-15 00:00:00 - Bear Close: 1380.0
JOSHI,2024-05-15,JOSHI - 2024-05-15 00:00:00 - Bull Close: 310.1
PRIN,2024-05-15,PRIN - 2024-05-15 00:00:00 - Bear Close: 785.0
UAIL,2024-05-15,UAIL - 2024-05-15 00:00:00 - Bear Close: 580.0
SMH,2024-05-15,SMH - 2024-05-15 00:00:00 - Bear Close: 685.9
NWCL,2024-05-15,NWCL - 2024-05-15 00:00:00 - Bull Close: 720.1
SCB,2024-05-14,SCB - 2024-05-14 00:00:00 - Bear Close: 544.0
CLI,2024-05-14,CLI - 2024-05-14 00:00:00 - Bear Close: 462.4
ENL,2024-05-14,ENL - 2024-05-14 00:00:00 - Bear Close: 800.1
NHDL,2024-05-14,NHDL - 2024-05-14 00:00:00 - Bear Close: 447.0
GVL,2024-05-14,GVL - 2024-05-14 00:00:00 - Bear Close: 452.0
NWCL,2024-05-13,NWCL - 2024-05-13 00:00:00 - Bear Close: 740.0
SGIC,2024-05-13,SGIC - 2024-05-13 00:00:00 - Bear Close: 534.5
MLBL,2024-05-13,MLBL - 2024-05-13 00:00:00 - Bear Close: 333.0
HEI,2024-05-13,HEI - 2024-05-13 00:00:00 - Bear Close: 595.9
RFPL,2024-05-13,RFPL - 2024-05-13 00:00:00 - Bull Close: 329.4
SMH,2024-05-12,SMH - 2024-05-12 00:00:00 - Bull Close: 653.8
ADBL,2024-05-09,ADBL - 2024-05-09 00:00:00 - Bear Close: 239.0
SNLI,2024-05-09,SNLI - 2024-05-09 00:00:00 - Bull Close: 455.0
ENL,2024-05-08,ENL - 2024-05-08 00:00:00 - Bull Close: 781.0
ENL,2024-05-07,ENL - 2024-05-07 00:00:00 - Bear Close: 795.1
BNHC,2024-05-07,BNHC - 2024-05-07 00:00:00 - Bull Close: 434.8
NWCL,2024-05-07,NWCL - 2024-05-07 00:00:00 - Bull Close: 705.0
BHL,2024-05-06,BHL - 2024-05-06 00:00:00 - Bull Close: 320.0
SHINE,2024-05-06,SHINE - 2024-05-06 00:00:00 - Bear Close: 385.9
MHL,2024-05-06,MHL - 2024-05-06 00:00:00 - Bull Close: 400.0
UNL,2024-05-06,UNL - 2024-05-06 00:00:00 - Bull Close: 38710.0
ENL,2024-05-06,ENL - 2024-05-06 00:00:00 - Bull Close: 785.9
USHL,2024-05-05,USHL - 2024-05-05 00:00:00 - Bull Close: 457.0
FMDBL,2024-05-05,FMDBL - 2024-05-05 00:00:00 - Bear Close: 638.0
SWBBL,2024-05-05,SWBBL - 2024-05-05 00:00:00 - Bear Close: 764.0
SMJC,2024-05-05,SMJC - 2024-05-05 00:00:00 - Bull Close: 349.2
NUBL,2024-05-05,NUBL - 2024-05-05 00:00:00 - Bear Close: 668.0
MFIL,2024-05-05,MFIL - 2024-05-05 00:00:00 - Bull Close: 509.3
MKCL,2024-05-05,MKCL - 2024-05-05 00:00:00 - Bull Close: 840.0
MAKAR,2024-05-05,MAKAR - 2024-05-05 00:00:00 - Bull Close: 364.9
MFIL,2024-05-02,MFIL - 2024-05-02 00:00:00 - Bear Close: 524.0
SADBL,2024-05-02,SADBL - 2024-05-02 00:00:00 - Bear Close: 315.0
DEVBANK,2024-05-02,DEVBANK - 2024-05-02 00:00:00 - Bear Close: 4110.51
ENL,2024-04-30,ENL - 2024-04-30 00:00:00 - Bear Close: 805.0
DORDI,2024-04-30,DORDI - 2024-04-30 00:00:00 - Bull Close: 406.1
TAMOR,2024-04-29,TAMOR - 2024-04-29 00:00:00 - Bull Close: 369.0
SONA,2024-04-29,SONA - 2024-04-29 00:00:00 - Bull Close: 445.1
HATHY,2024-04-29,HATHY - 2024-04-29 00:00:00 - Bull Close: 825.0
SWBBL,2024-04-25,SWBBL - 2024-04-25 00:00:00 - Bull Close: 725.0
SPHL,2024-04-24,SPHL - 2024-04-24 00:00:00 - Bull Close: 460.0
HURJA,2024-04-24,HURJA - 2024-04-24 00:00:00 - Bull Close: 285.0
NUBL,2024-04-24,NUBL - 2024-04-24 00:00:00 - Bull Close: 620.0
KKHC,2024-04-22,KKHC - 2024-04-22 00:00:00 - Bull Close: 231.0
NRM,2024-04-22,NRM - 2024-04-22 00:00:00 - Bull Close: 354.0
FMDBL,2024-04-22,FMDBL - 2024-04-22 00:00:00 - Bull Close: 604.5
SHIVM,2024-04-22,SHIVM - 2024-04-22 00:00:00 - Bull Close: 507.0
KPCL,2024-04-22,KPCL - 2024-04-22 00:00:00 - Bull Close: 392.1
CKHL,2024-04-21,CKHL - 2024-04-21 00:00:00 - Bull Close: 534.0
SGIC,2024-04-18,SGIC - 2024-04-18 00:00:00 - Bull Close: 514.0
NHDL,2024-04-18,NHDL - 2024-04-18 00:00:00 - Bull Close: 411.5
HPPL,2024-04-18,HPPL - 2024-04-18 00:00:00 - Bull Close: 257.1
JBLB,2024-04-18,JBLB - 2024-04-18 00:00:00 - Bull Close: 1290.1
DHPL,2024-04-16,DHPL - 2024-04-16 00:00:00 - Bear Close: 206.0
MKJC,2024-04-16,MKJC - 2024-04-16 00:00:00 - Bull Close: 450.0
UNHPL,2024-04-16,UNHPL - 2024-04-16 00:00:00 - Bull Close: 229.0
NRIC,2024-04-16,NRIC - 2024-04-16 00:00:00 - Bull Close: 718.0
BBC,2024-04-16,BBC - 2024-04-16 00:00:00 - Bull Close: 3700.0
AKJCL,2024-04-16,AKJCL - 2024-04-16 00:00:00 - Bull Close: 210.0
TPC,2024-04-15,TPC - 2024-04-15 00:00:00 - Bull Close: 511.0
GCIL,2024-04-15,GCIL - 2024-04-15 00:00:00 - Bull Close: 484.1
TVCL,2024-04-15,TVCL - 2024-04-15 00:00:00 - Bull Close: 485.0
PHCL,2024-04-14,PHCL - 2024-04-14 00:00:00 - Bull Close: 313.0
CLI,2024-04-14,CLI - 2024-04-14 00:00:00 - Bull Close: 448.0
TRH,2024-04-14,TRH - 2024-04-14 00:00:00 - Bull Close: 730.1
NRIC,2024-04-14,NRIC - 2024-04-14 00:00:00 - Bear Close: 760.0
BNT,2024-04-10,BNT - 2024-04-10 00:00:00 - Bull Close: 12702.0
MLBSL,2024-04-09,MLBSL - 2024-04-09 00:00:00 - Bear Close: 1750.0
CLI,2024-04-09,CLI - 2024-04-09 00:00:00 - Bear Close: 462.5
FOWAD,2024-04-07,FOWAD - 2024-04-07 00:00:00 - Bear Close: 1140.0
PROFL,2024-04-07,PROFL - 2024-04-07 00:00:00 - Bear Close: 326.0
FMDBL,2024-04-07,FMDBL - 2024-04-07 00:00:00 - Bear Close: 640.9
SPC,2024-04-07,SPC - 2024-04-07 00:00:00 - Bull Close: 540.0
MBJC,2024-04-07,MBJC - 2024-04-07 00:00:00 - Bull Close: 312.0
SMHL,2024-04-04,SMHL - 2024-04-04 00:00:00 - Bull Close: 433.1
DHPL,2024-04-04,DHPL - 2024-04-04 00:00:00 - Bull Close: 193.0
PMHPL,2024-04-04,PMHPL - 2024-04-04 00:00:00 - Bull Close: 234.9
JBLB,2024-04-03,JBLB - 2024-04-03 00:00:00 - Bear Close: 1337.0
PPCL,2024-04-03,PPCL - 2024-04-03 00:00:00 - Bull Close: 247.0
NRN,2024-04-03,NRN - 2024-04-03 00:00:00 - Bull Close: 524.0
NRIC,2024-04-03,NRIC - 2024-04-03 00:00:00 - Bull Close: 703.9
PROFL,2024-04-03,PROFL - 2024-04-03 00:00:00 - Bull Close: 310.2
HYDROPOWER,2024-04-02,HYDROPOWER - 2024-04-02 00:00:00 - Bull Close: 2459.57
DEVBANK,2024-04-02,DEVBANK - 2024-04-02 00:00:00 - Bull Close: 3907.79
JBLB,2024-04-02,JBLB - 2024-04-02 00:00:00 - Bull Close: 1315.0
SPDL,2024-04-02,SPDL - 2024-04-02 00:00:00 - Bull Close: 238.6
TRH,2024-04-01,TRH - 2024-04-01 00:00:00 - Bear Close: 851.0
CLI,2024-04-01,CLI - 2024-04-01 00:00:00 - Bull Close: 449.5
NEPSE,2024-04-01,NEPSE - 2024-04-01 00:00:00 - Bull Close: 2012.07
UMHL,2024-04-01,UMHL - 2024-04-01 00:00:00 - Bull Close: 239.2
MHL,2024-04-01,MHL - 2024-04-01 00:00:00 - Bear Close: 436.0
TRADING,2024-03-31,TRADING - 2024-03-31 00:00:00 - Bull Close: 2744.2
MLBL,2024-03-31,MLBL - 2024-03-31 00:00:00 - Bull Close: 319.0
