Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
BHPL,Barahi Hydropower Public Limited,Hydro Power,516.00,1.29 Ar,-0.77%,+0.19%,-21.22%,-28.06%,-37.73%,+143.33%,9.48,54.40,9.79,"14,637.93","29,524.03",-50.42%,"13,347.37","27,104.83",-50.76%,"5,927.83","-4,682.09",-226.61%,9.48,-1.87,-606.43%,52.70,52.69,+0.01%,"3,77,493.29","3,66,246.33",+3.07%,"2,45,740.82","2,34,511.83",+4.79%,"2,50,000.00","2,50,000.00",0.00%,"-1,18,247.53","-1,18,265.50",-0.02%
BNHC,Buddha Bhumi Nepal Hydropower Company Limited,Hydro Power,439.00,1.76 Ar,-0.45%,+0.96%,-2.43%,-8.58%,-3.92%,+68.51%,7.28,60.33,5.68,"50,819.91","1,43,781.60",-64.65%,"49,395.44","1,36,243.43",-63.74%,"7,518.32","-22,594.43",-133.28%,7.28,-5.47,-233.10%,77.35,74.66,+3.61%,"13,50,587.42","13,66,576.00",-1.17%,"10,30,876.55","10,57,996.27",-2.56%,"4,13,304.40","4,13,304.40",0.00%,"-93,593.53","-1,04,724.67",-10.63%
BNL,Bottlers Nepal (Balaju),Manufacturing And Processing,"16,250.00",31.67 Ar,+0.17%,+1.99%,-1.69%,+5.34%,+1.29%,+759.70%,660.22,24.61,4.85,"36,98,179.00","1,09,60,792.00",-66.26%,"11,63,811.00","27,27,051.00",-57.32%,"3,21,676.00","-4,00,600.00",-180.30%,660.22,-205.55,-421.19%,"3,349.59","3,184.34",+5.19%,"1,42,39,690.00","1,33,59,703.00",+6.59%,"77,11,703.00","71,53,774.00",+7.80%,"1,94,889.00","1,94,889.00",0.00%,"63,33,098.00","60,11,040.00",+5.36%
BNT,Bottlers Nepal (Terai),Manufacturing And Processing,"11,800.00",14.28 Ar,-4.34%,+3.20%,+3.66%,+8.87%,-2.91%,+40.87%,905.30,13.03,3.76,"26,22,779.00","76,99,956.00",-65.94%,"9,33,024.00","17,41,008.00",-46.41%,"2,73,853.00","-6,07,572.00",-145.07%,905.30,-502.13,-280.29%,"3,141.86","2,920.77",+7.57%,"95,32,726.00","86,70,966.00",+9.94%,"57,31,081.00","51,36,829.00",+11.57%,"1,21,000.00","1,21,000.00",0.00%,"36,80,645.00","34,13,137.00",+7.84%
BPCL,Butwal Power,Hydro Power,745.10,25.40 Ar,+0.43%,+4.77%,+3.83%,+3.60%,+97.31%,+137.16%,9.95,74.88,3.46,"2,41,214.00","7,33,793.00",-67.13%,"1,34,450.00","3,12,107.00",-56.92%,"84,802.00","2,26,150.00",-62.50%,9.95,6.63,+49.99%,215.04,212.69,+1.10%,"83,36,439.00","81,41,520.00",+2.39%,"10,05,514.00","8,90,686.00",+12.89%,"34,09,065.00","34,09,065.00",0.00%,"39,21,860.00","38,41,769.00",+2.08%
BUNGAL,Bungal Hydro Limited,Hydro Power,620.29,5.15 Ar,+4.78%,+2.96%,+6.63%,+77.99%,+77.99%,+77.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C30MF,Citizens Super 30 Mutual Fund,Mutual Fund,9.69,72.82 Cr,-1.12%,+4.59%,+8.17%,+5.04%,+21.19%,+23.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBBL,Chhimek Laghubitta Bikas Bank,Microcredit,932.00,29.97 Ar,-0.53%,-8.84%,-10.51%,-7.23%,+9.59%,+44.93%,33.46,27.85,3.50,"16,51,153.23","61,22,253.02",-73.03%,"7,55,117.98","28,19,466.84",-73.22%,"2,69,002.80","12,12,874.50",-77.82%,33.46,37.72,-11.28%,266.18,257.54,+3.35%,"5,37,35,805.33","5,17,69,918.55",+3.80%,"4,51,77,284.70","4,34,89,078.88",+3.88%,"32,15,345.87","32,15,345.87",0.00%,"53,43,174.76","50,65,493.81",+5.48%
CBLD88,Civil Bank Debenture 2088,Bond,"1,265.00",0.00,+1.61%,-0.01%,-0.48%,+0.40%,+8.26%,+24.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFCL,Central Finance,Finance,470.00,4.46 Ar,-1.47%,+3.22%,-1.65%,-2.65%,-11.67%,+245.21%,7.78,60.45,4.11,"1,48,054.20","6,96,918.97",-78.76%,"37,701.33","1,98,871.20",-81.04%,"18,444.57","89,148.10",-79.31%,7.78,9.40,-17.24%,114.32,113.92,+0.35%,"91,64,863.95","88,39,786.38",+3.68%,"80,80,145.12","77,58,800.60",+4.14%,"9,48,875.46","9,48,875.46",0.00%,"1,35,843.37","1,32,110.32",+2.83%
CGH,Chandragiri Hills Limited,Hotels,859.00,13.18 Ar,-0.69%,+2.54%,+4.19%,+4.66%,+2.20%,+453.98%,-3.24,-265.00,8.04,"1,48,996.63","9,32,849.15",-84.03%,"50,933.28","5,39,041.22",-90.55%,"-12,431.73","2,10,895.50",-105.89%,-3.24,13.75,-123.58%,106.80,107.61,-0.75%,"37,48,301.63","37,01,440.77",+1.27%,"21,09,838.33","20,50,545.75",+2.89%,"15,34,091.00","15,34,091.00",0.00%,"1,04,372.30","1,16,804.03",-10.64%
CHCL,Chilime Hydropower,Hydro Power,471.00,41.37 Ar,+0.35%,+1.79%,+2.20%,+1.93%,+0.42%,+49.04%,9.38,50.24,3.56,"3,53,082.70","11,24,979.34",-68.61%,"2,69,080.99","8,58,545.77",-68.66%,"2,05,841.81","6,79,599.76",-69.71%,9.38,7.74,+21.15%,132.45,130.59,+1.42%,"1,21,42,825.57","1,18,64,367.36",+2.35%,"5,10,964.03","3,95,747.06",+29.11%,"87,82,396.92","87,82,396.92",0.00%,"28,49,464.62","26,86,223.38",+6.08%
CHDC,CEDB Holdings Limited,Organized Fund,"2,243.00",23.20 Ar,-0.75%,+2.36%,-5.40%,-0.44%,+43.22%,+509.75%,60.55,37.04,10.76,"1,60,927.48","6,08,464.23",-73.55%,"1,58,278.29","6,06,863.42",-73.92%,"1,56,563.73","5,73,502.14",-72.70%,60.55,55.45,+9.20%,208.39,193.25,+7.83%,"21,65,007.42","20,15,554.97",+7.41%,"9,766.24","16,877.52",-42.13%,"10,34,237.06","10,34,237.06",0.00%,"11,21,004.12","9,64,440.39",+16.23%
CHL,Chhyangdi Hydropower Ltd.,Hydro Power,256.70,1.99 Ar,-1.65%,+2.76%,-1.55%,+2.35%,+8.30%,+115.44%,9.93,25.86,3.01,"57,700.82","1,40,141.32",-58.83%,"49,246.52","1,08,830.01",-54.75%,"19,207.03","-49,710.31",-138.64%,9.93,-12.85,-177.28%,85.16,51.42,+65.63%,"13,66,572.42","13,18,838.67",+3.62%,"7,07,442.72","11,19,857.81",-36.83%,"7,73,955.00","3,86,977.50",+100.00%,"-1,14,825.30","-1,87,996.64",-38.92%
CIT,Citizen Investment Trust,Organized Fund,"1,835.00",118.94 Ar,-0.49%,+1.91%,-1.60%,-2.28%,-5.33%,+16.90%,19.40,94.60,4.45,"5,37,202.00","20,97,409.00",-74.39%,"4,58,525.00","20,38,776.00",-77.51%,"3,14,328.00","12,53,569.00",-74.93%,19.40,19.34,+0.30%,412.40,410.37,+0.49%,"31,91,55,681.00","31,10,66,708.00",+2.60%,"29,24,25,099.00","28,44,67,679.00",+2.80%,"64,81,712.00","64,81,712.00",0.00%,"2,02,48,869.00","2,01,17,316.00",+0.65%
CITY,City Hotel Limited,Hotels,475.10,7.95 Ar,-1.10%,+0.92%,-10.82%,-15.15%,-7.50%,+327.66%,-13.30,-35.73,3.49,"1,15,535.89","5,22,315.41",-77.88%,"24,284.01","1,50,265.43",-83.84%,"-55,652.16","-1,98,965.88",-72.03%,-13.30,-11.89,+11.88%,135.99,80.83,+68.24%,"59,08,122.77","55,60,623.70",+6.25%,"36,31,721.29","42,07,530.36",-13.69%,"16,74,000.00","16,74,000.00",0.00%,"6,02,401.47","-3,20,906.66",-287.72%
CIZBD90,10% Citizens Bank Debenture 2090,Bond,"1,277.00",0.00,-2.00%,+4.24%,+5.25%,+15.30%,+13.80%,+27.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKHL,Chirkhwa Hydropower Limited,Hydro Power,665.00,2.66 Ar,0.00%,+4.07%,+6.90%,+6.40%,-6.99%,+101.52%,17.52,37.95,7.28,"47,273.92","1,18,463.10",-60.09%,"42,878.47","97,940.42",-56.22%,"17,524.30","-5,436.26",-422.36%,17.52,-1.36,"-1,389.44%",91.32,91.08,+0.26%,"11,95,412.61","11,96,615.48",-0.10%,"8,30,114.76","8,32,282.66",-0.26%,"4,00,000.00","4,00,000.00",0.00%,"-34,702.15","-35,667.18",-2.71%
CLI,Citizen Life Insurance Company Limited,Life Insurance,467.00,23.35 Ar,-0.64%,-0.32%,+0.02%,+7.25%,-8.29%,+42.70%,10.52,44.40,3.79,"27,15,163.01","91,98,427.38",-70.48%,"3,77,457.12","13,01,350.59",-70.99%,"1,31,489.59","4,25,013.15",-69.06%,10.52,8.50,+23.75%,148.93,148.71,+0.15%,"2,96,07,870.76","2,80,94,737.44",+5.39%,"2,21,61,432.32","2,06,59,315.50",+7.27%,"50,00,000.00","50,00,000.00",0.00%,"11,56,978.00","10,39,952.27",+11.25%
CMF2,Citizen Mutual Fund 2,Mutual Fund,9.40,52.64 Cr,+1.84%,+1.10%,+0.87%,-0.86%,+6.18%,+48.89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORBL,Corporate Development Bank,Development Bank,"1,580.00",8.29 Ar,-2.41%,+11.66%,-2.76%,-14.11%,+22.19%,+1078.19%,2.22,711.52,11.57,"56,890.47","1,97,714.82",-71.23%,"23,452.16","62,366.30",-62.40%,"2,914.53","-16,385.86",-117.79%,2.22,-3.12,-171.15%,136.54,136.24,+0.22%,"27,17,727.00","28,66,512.04",-5.19%,"20,00,899.94","21,51,235.66",-6.99%,"5,25,000.00","5,25,000.00",0.00%,"1,91,827.05","1,90,276.37",+0.81%
CREST,Crest Micro Life Insurance Limited,Life Insurance,"1,197.00",8.98 Ar,-1.85%,+0.12%,-3.21%,+17.26%,+266.55%,+266.55%,2.98,401.08,11.37,"1,11,950.68","3,90,922.61",-71.36%,"35,386.28","1,38,865.83",-74.52%,"5,595.85","22,709.28",-75.36%,2.98,3.03,-1.43%,110.30,104.51,+5.54%,"11,43,327.53","10,26,754.07",+11.35%,"3,16,068.98","2,42,908.49",+30.12%,"7,50,000.00","7,50,000.00",0.00%,"39,839.82","23,125.31",+72.28%
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microcredit,"1,639.00",4.37 Ar,+3.73%,+3.37%,+5.90%,-1.80%,-5.39%,+437.75%,-21.88,-74.91,3.48,"1,85,220.08","8,90,045.92",-79.19%,"75,502.79","4,50,390.32",-83.24%,"-14,573.82","1,17,478.31",-112.41%,-21.88,44.09,-149.62%,471.51,277.17,+70.11%,"73,69,513.44","73,66,206.02",+0.04%,"66,78,831.42","66,27,747.89",+0.77%,"2,66,424.39","2,66,424.39",0.00%,"9,89,794.07","4,72,033.73",+109.69%
CYCLP,CYC Nepal Laghubitta Bittiya Sanstha Limited Promoter,Microcredit,864.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-21.88,-39.49,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZBIL,Citizen Bank International,Commercial Banks,198.80,29.36 Ar,+0.91%,+2.87%,-1.30%,+0.05%,-5.47%,+3.95%,-5.97,-33.30,1.30,"40,66,326.62","1,73,09,675.06",-76.51%,"16,66,263.49","63,64,973.10",-73.82%,"-2,20,411.17","12,93,321.39",-117.04%,-5.97,8.76,-168.17%,153.30,155.42,-1.36%,"24,63,48,568.20","24,53,77,715.60",+0.40%,"22,37,07,044.50","22,24,23,755.60",+0.58%,"1,47,69,012.97","1,47,69,012.97",0.00%,"78,72,510.67","81,84,947.10",-3.82%
DDBL,Deprosc Laghubitta,Microcredit,800.00,14.95 Ar,-0.49%,+2.22%,+1.64%,+4.50%,+13.30%,+19.00%,43.29,18.48,3.62,"9,27,017.52","34,95,545.35",-73.48%,"5,33,543.99","18,35,858.44",-70.94%,"2,02,215.58","6,91,154.54",-70.74%,43.29,36.99,+17.03%,221.21,208.84,+5.92%,"2,71,35,989.25","2,71,23,861.70",+0.04%,"2,30,03,063.34","2,32,22,065.89",-0.94%,"18,68,285.70","18,68,285.70",0.00%,"22,64,640.21","20,33,510.12",+11.37%
DHEL,Daramkhola Hydro Energy Limited,Hydro Power,584.90,6.03 Ar,+2.43%,+3.07%,+1.24%,+29.07%,+29.07%,+29.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHPL,Dibyashwori Hydropower Ltd.,Hydro Power,291.60,76.98 Cr,-1.45%,+2.74%,-3.62%,+1.68%,+2.74%,+192.97%,17.51,16.66,37.52,"34,963.00","89,929.00",-61.12%,"33,151.00","84,212.00",-60.63%,"11,555.00","-4,554.00",-353.73%,17.51,-1.73,"-1,114.93%",7.77,3.40,+128.90%,"7,78,457.00","7,83,148.00",-0.60%,"7,57,938.00","7,74,184.00",-2.10%,"2,64,000.00","2,64,000.00",0.00%,"-2,43,481.00","-2,55,036.00",-4.53%
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microcredit,"1,314.20",1.75 Ar,-1.85%,+1.98%,-0.82%,-2.26%,-18.45%,+645.13%,7.80,168.51,7.65,"73,056.81","3,26,102.90",-77.60%,"34,600.27","1,49,081.38",-76.79%,"2,595.13","15,208.42",-82.94%,7.80,11.43,-31.75%,171.75,169.57,+1.28%,"26,41,878.21","26,13,398.39",+1.09%,"24,13,279.31","23,87,695.66",+1.07%,"1,33,100.00","1,33,100.00",0.00%,"95,498.90","92,602.73",+3.13%
DOLTI,Dolti Power Company Limited,Hydro Power,508.00,2.73 Ar,-1.30%,+0.43%,-4.81%,-5.65%,-23.18%,+79.28%,14.23,35.69,8.24,"47,753.56","85,121.14",-43.90%,"43,309.63","71,329.55",-39.28%,"19,089.06","-28,884.03",-166.09%,14.23,-5.38,-364.35%,61.63,58.07,+6.12%,"10,85,123.57","10,41,986.02",+4.14%,"7,54,501.13","7,30,434.29",+3.29%,"5,36,486.00","5,36,486.00",0.00%,"-2,05,863.56","-2,24,934.27",-8.48%
DORDI,Dordi Khola Jal Bidyut Company Limited,Hydro Power,254.50,5.37 Ar,-2.12%,+4.80%,-1.18%,+9.80%,-13.04%,+25.30%,1.70,150.10,2.42,"74,601.02","3,01,108.65",-75.22%,"66,027.95","2,62,293.88",-74.83%,"8,937.89","-70,569.42",-112.67%,1.70,-3.36,-150.44%,105.35,104.26,+1.05%,"35,01,940.07","35,87,223.89",-2.38%,"12,80,688.73","13,98,718.10",-8.44%,"21,08,520.80","20,99,157.90",+0.45%,"1,12,730.54","89,347.88",+26.17%
EBL,Everest Bank,Commercial Banks,652.00,84.40 Ar,-1.66%,+2.43%,+1.38%,-0.49%,+23.32%,+41.84%,36.44,17.89,2.55,"53,09,342.00","2,08,18,988.00",-74.50%,"24,03,897.00","91,29,388.00",-73.67%,"11,79,274.00","49,18,165.00",-76.02%,36.44,37.99,-4.09%,255.69,247.39,+3.36%,"37,63,27,699.00","36,52,05,354.00",+3.05%,"34,32,29,653.00","33,31,81,802.00",+3.02%,"1,29,44,694.00","1,29,44,694.00",0.00%,"2,01,53,353.00","1,90,78,857.00",+5.63%
EBLD86,8.5% Everest Bank Limited Debenture 2086,Bond,"1,150.00",98.53 Cr,0.00%,+2.22%,+2.40%,+5.89%,+9.94%,+22.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBLD91,Everest Bank Limited Debenture 2091,Bond,"1,106.00",0.00,-1.25%,-0.88%,+1.17%,+6.26%,+9.27%,+9.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBLEB89,"Everest Bank Limited Energy Bond, 2089",Bond,"1,097.09",81.93 Cr,-1.86%,+3.03%,+2.33%,+7.28%,+10.24%,+10.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
